Character,Occurrence,Percentage
a,208231,7.317193160251137
b,33126,1.1640406117555944
d,123535,4.3409936899482995
u,69258,2.4337114257371537
c,64769,2.275968918154866
t,231714,8.14238079793322
i,177534,6.238507093141873
o,200311,7.038886040613863
n,190272,6.686117710558487
e,329901,11.592651145890912
m,61545,2.1626782421813093
r,154882,5.442520619149006
y,47638,1.673989212787931
x,4442,0.15609093755413725
l,102421,3.5990522096425686
f,56867,1.9982943146985868
g,53147,1.8675743039598676
s,169046,5.940240574015462
h,169490,5.9558426398133095
p,41959,1.4744303576843862
v,27769,0.9757967683342722
k,20118,0.7069422516240731
z,2498,0.08777919000680658
q,2477,0.0870412544623138
-,15917,0.5593200029376862
A,8069,0.2835429480243884
B,4309,0.1514173457723497
C,2625,0.09224194306159618
F,2269,0.0797321785930521
P,6895,0.2422888371084593
T,7988,0.2806966252099163
W,3643,0.128014247075579
w,58654,2.0610891155561384
j,2483,0.08725209318931174
(,2550,0.089606458974122
',8642,0.3036780464526911
I,8474,0.29777456209674896
M,3639,0.12787368792424705
.,33753,1.1860732587268785
D,2776,0.09754805102437752
",",42811,1.504369456918093
S,3610,0.12685463407709036
V,1169,0.04107841197676417
:,1733,0.06089725231456998
E,3992,0.14027803302929218
H,4763,0.16737080944852673
O,3007,0.10566534201379799
G,1561,0.05485320880729587
R,3792,0.13325007546269438
N,4978,0.17492586383261935
Y,1442,0.05067157405517017
U,534,0.018764646702816138
),2545,0.08943076003495706
;,2721,0.09561536269356313
L,1162,0.04083243346193324
?,3213,0.11290413830739372
[,489,0.01718335625033163
],481,0.01690223794766772
3,564,0.01981884033780581
0,801,0.028146970054224205
4,462,0.01623458197884093
1,1946,0.06838202712299664
9,259,0.009101205048744157
8,475,0.016691399220669787
5,512,0.01799157137049038
K,1623,0.05703187565294118
2,715,0.02512494830058715
J,367,0.012896302134706971
!,3520,0.12369205317212136
Z,126,0.004427613266956617
6,2766,0.09719665314604763
"""",19521,0.6859637982877786
7,309,0.010858194440393607
Q,45,0.001581290452484506
<,616,0.021646109305121237
#,278,0.009768861017570948
>,318,0.01117445253089051
/,832,0.029236303477046865
X,416,0.014618151738523433
_,1157,0.040656734522768294
^,230,0.008082151201587475
*,3700,0.1300172149820594
~,61,0.00214352705781233
\,142,0.004989849872284441
&,513,0.01802671115832337
%,58,0.0020381076943133633
{,738,0.0259331634207459
$,272,0.009558022290573015
|,147,0.005165548811449387
},734,0.025792604269413943
=,1314,0.04617368121254757
+,533,0.018729506914983148
@,45,0.001581290452484506
`,23,0.0008082151201587475
