Letter,Number of Occurrences,Percentage
 ,3697,17.9928943398063
A,74,0.3601499002287439
B,20,0.09733781087263348
C,12,0.058402686523580084
D,11,0.05353579597994841
E,11,0.05353579597994841
F,4,0.019467562174526696
G,2,0.009733781087263348
H,15,0.0730033581544751
I,85,0.4136856962086923
J,0,0.0
K,2,0.009733781087263348
L,2,0.009733781087263348
M,14,0.06813646761084342
N,51,0.24821141772521535
O,11,0.05353579597994841
P,84,0.40881880566506057
Q,0,0.0
R,10,0.04866890543631674
S,22,0.10707159195989682
T,26,0.12653915413442351
U,0,0.0
V,6,0.029201343261790042
W,30,0.1460067163089502
X,7,0.03406823380542171
Y,12,0.058402686523580084
Z,0,0.0
a,1287,6.263688129653964
b,182,0.8857740789409646
d,342,1.6644765659220324
d,780,3.7961746240327052
e,1958,9.529371684430817
f,288,1.401664476565922
g,305,1.4844016158076605
h,1013,4.930160120698885
i,1020,4.964228354504307
j,9,0.043802014892685065
k,104,0.5061566165376941
l,557,2.710858032802842
m,356,1.732613033532876
n,1106,5.382780941256631
o,1024,4.983695916678834
p,225,1.0950503723171265
q,14,0.06813646761084342
r,865,4.209860320241398
s,958,4.6624811407991436
t,1309,6.370759721613862
u,345,1.6790772375529273
v,136,0.6618971139339076
w,357,1.7374799240765075
x,23,0.1119384825035285
y,267,1.2994597751496568
z,4,0.019467562174526696
!,27,0.1314060446780552
"""",154,0.7495011437192778
#,0,0.0
$,0,0.0
%,0,0.0
&,0,0.0
',48,0.23361074609432034
(,8,0.03893512434905339
),8,0.03893512434905339
*,3,0.014600671630895021
+,0,0.0
",",257,1.25079086971334
-,84,0.40881880566506057
.,235,1.1437192777534433
/,0,0.0
:,12,0.058402686523580084
;,11,0.05353579597994841
<,0,0.0
=,0,0.0
>,0,0.0
?,35,0.17034116902710858
@,0,0.0
[,0,0.0
\,0,0.0
],0,0.0
^,0,0.0
_,0,0.0
`,0,0.0
{,0,0.0
|,0,0.0
},0,0.0
~,0,0.0
1,2,0.009733781087263348
2,4,0.019467562174526696
3,0,0.0
4,0,0.0
5,1,0.004866890543631674
6,13,0.06326957706721176
7,1,0.004866890543631674
8,1,0.004866890543631674
9,0,0.0
0,0,0.0
ed,192,1.8688859687545627
